country,industry,ROAS (Calc),Total Revenue
Canada,E-commerce,6.65908365122774,"€ 2293748,00"
UAE,SaaS,5.754746301103864,"€ 2181233,00"
Australia,Healthcare,5.493090067397373,"€ 2178576,00"
Canada,SaaS,4.191301555025705,"€ 1970553,00"
USA,SaaS,4.827989499545986,"€ 1951343,00"
India,EdTech,6.332527962748897,"€ 1944751,00"
UAE,EdTech,4.719941374213999,"€ 1919350,00"
Australia,Fintech,4.200617109211346,"€ 1780692,00"
Germany,EdTech,5.596579894985644,"€ 1764014,00"
Germany,E-commerce,5.432532214642307,"€ 1662746,00"
UK,Fintech,4.802836133538253,"€ 1653141,00"
India,Fintech,4.947332059610241,"€ 1618396,00"
UK,SaaS,5.820503135151469,"€ 1617966,00"
UK,Healthcare,4.659129072302725,"€ 1617617,00"
India,Healthcare,5.4370303298452125,"€ 1585226,00"
USA,Healthcare,5.102781089374011,"€ 1566564,00"
Australia,EdTech,5.876745837607512,"€ 1563996,00"
UK,EdTech,4.98014638815745,"€ 1545195,00"
Germany,SaaS,4.5583748069586765,"€ 1537827,00"
UAE,Healthcare,4.39080321273338,"€ 1494063,00"
USA,EdTech,3.5622370295968606,"€ 1482457,00"
Germany,Fintech,4.401637948800659,"€ 1473708,00"
India,SaaS,5.501462597678619,"€ 1465078,00"
UAE,Fintech,4.940934522045565,"€ 1383852,00"
Canada,EdTech,4.828658344011936,"€ 1330165,00"
India,E-commerce,5.25506286261043,"€ 1296156,00"
Germany,Healthcare,4.877406608079992,"€ 1256537,00"
Canada,Healthcare,3.8697464081023787,"€ 1232224,00"
Australia,E-commerce,4.441751007031171,"€ 1230596,00"
UK,E-commerce,4.581544005502557,"€ 1225618,00"
USA,Fintech,3.7436256157032255,"€ 1222889,00"
Australia,SaaS,5.248001653494129,"€ 1167990,00"
Canada,Fintech,4.432848854545609,"€ 1040629,00"
USA,E-commerce,3.535572392972145,"€ 967322,00"
UAE,E-commerce,4.6062688713156,"€ 961098,00"
